Aboni gazeton, revuon, servon, dissendolisto.
Bedaŭrinde ofte en germana lingvo.
Bedaŭrinde pastoroj malpermesis trinki alkoholaĵon.
Bedaŭrinde scienco ne funkcias tiel.
Bedaŭrinde tia tradukilo ne ekzistas.
Bedaŭrinde, ankaŭ ni malofte preĝas!
Bedaŭrinde, ili ofte ne kapablas.
Bedaŭrinde, kelkajn punktojn ili maltrafas.
Bedaŭrinde, la internacia komunumo silentas.
Bedaŭrinde, la partoprenintoj ne komprenis.
Bedaŭrinde, ne pri tio temas.
Bedaŭrinde, tiu eksperimento montriĝis katastrofo.
Beko kaj kuroj estas malhelgrizaj.
Bela bildo, bela loko, gratulojn!
Bela kaj videbla, ĉu ne?
Bela kolora kaj bindita eldono.
Bela, pigra, ruza, kalkulema fiulino!
Belaj kantoj ne estas longaj.
Bele ludas ili, ĉu ne?
Bele mi rekompencos vin, vere!
Belgio estas oficiale trilingva lando.
Berlina aero instigas al verkado.
Besto kiu koleris atakis Gaston.
Bestoj estas kreaĵoj de Dio.
Betonaj pecegoj dise kuŝas ĉirkaŭe.
Bezono verki satiron ne malaperis.
Biero, ne brando, biero, ĉu?
Birdoj havas malsaman vivan destinon.
Birdoj povas formi izolajn koloniojn.
Blankaj haroj senĉese pli multiĝas.
Bona Dio decidiĝis krei patrinon.
Bona amikeco estas tre agrabla.
Bona aŭkciisto ekstazigas sian publikon.
Bona homo estas tiu juĝisto.
Bona homo ne estas bonulo.
Bona vidi grandan laboron daŭrigi!
Bona vojo, knaboj, vere bona.
Bonaj homoj ne ŝatas malpurecon.
Bonaj roloj kaj malpli bonaj.
Bonan Esperon ĉirkaŭigas sovaĝa naturo.
Bonan legadon kaj Bonajn Festotagojn.
Bonan legadon kaj ĝis baldaŭ!
Bonan novan jaron al vi!
Bonan pli ĉu elpensis vi?
Bonan tagon, malnova kamarado mia!
Bonas kun pastaĵo, salmo, pano.
Bone – ŝi rigardis min.
Bone, lia lampo ne taŭgas!
Bone, mi diros al vi.
Bone, preparu lin por operacio.
Boneco malpliiĝos kaj malboneco pliiĝos.
Bonega flegitaj vinoj kaj bieroj.
Bonega komputilisto kaj bonega homo!
Bonega, pena kaj interesega vortaro.
Bonege farita estis la portreto.
Bonege sonas en via plenumo!
Bonkora, helpema kiel bona amiko.
Bonkvalita revuo estus potenca logilo.
Bonmaniera, afabla viro li estis.
Bono naskas malbonon, kaj inverse.
Bonvenas la reagoj de ĉiuj.
Bonvenon al Esperanta Podkasto Facila.
Bonvenon al nia somera idilio!
Bonvenon do al artaj paradoksoj!
Bonvole helpu aldonante fidindajn fontojn.
Bonvole helpu kun la tradukado.
Bonvole helpu plifortigi la tradukon.
Bonvolu aldoni viajn lernolibrojn, gesamideanoj!
Bonvolu fermi tiun ĉi fenestron!
Bonvolu kontakti nian redakcion tiurilate.
Bonvolu pagi en la kason.
Bonvolu pardoni al mi sinjoro!
Bonvolu poste sekvi tiun instrukcion.
Bonvolu rakonti pri via familio.
Bonvolu saluti paĉjon kaj Ela.
Bonvolu sendi dosieron same strukturigita.
Bonvolu senti liberan kontakti nin.
Bonvolu spekti la sekvan filmeton.
Bonvolu viziti nin ĉi tie!
Bonvolu vortumi akurate kaj koncize.
Bonŝance la sangon baris plasto.
Bonŝance, ne estas ĉiam tiel.
Bovoj estas grandaj obeemaj bestoj.
Brando, aŭ ĝino, aŭ konjako.
Brila komenco al la tago!
Brilas saĝo estas ĉina libro.
Brogita eĉ sur akvon blovas.
Brosu viajn dentojn per salo.
Brulaĵo same estas unuavica problemo.
Bruna sekureco povas esti bona.
Brusela Ĉefurba Regiono estas dulingva.
Budhanoj ne praktikas tiuspecan adoron.
Budho ne deziras verŝi sangon!
Budho piediris tra la arbaro.
Buŝa seksumado estas populara sporto.
Buŝan komunikadon ne estas traktita.
Buĉista Dio havis du filojn.
Bv daŭrigu vian bonegan laboron.
Bv ne demandi al mi.
Centfoje mi vidis tiun filmon.
Certaj aferoj sekvas certan vojon.
Certe estis pri la knabetoj.
Certe hodiaŭ estas ĝia fino.
Certe koncernatoj sarkas la terenon.
Certe la estonto troviĝas tie.
Certe li havis multajn aĵojn.
Certe li ne estas fidinda!
Certe mi bezonas vian helpon.
Certe mi dankos vian helpon.
Certe oni devas fari diferencojn.
Certe restas ankoraŭ multaj demandoj.
Certe venos tiu formala argumento.
Certe vi konas tiun arbon.
Certe vi multe lernos tiel.
Certe vi ne estos seniluziigitaj!
Certe vi volus mortigi neniun.
Certe ĝi estas loka vorto.
Certe, la temo estas freneza.
Certe, laŭ la Sokrata maniero.
Certe, li povis defendi sin!
Certe, mitraleto estas tro rimarkebla.
Certe, ne ĉio iris glate.
Certe, neniun ni tie renkontos.
Certe, se ne okazadis kunsido.
Certe, senerare, vi estas mastro.
Cervoj ne povis ĝemi tiel.
Cetacoj troviĝas en ĉiuj areoj.
Cetere ambaŭ desegnaĵoj estis vakaj.
Cetere mi fermos ĝian kovrilon!
Cetere mi malofte vidas lin.
Cetere ni trovas du fajrejoj.
Cetere poste ankaŭ ĝi malaperis.
Cetere preskaŭ nenio estis decidita.
Cetere vasta ludkampo por terminologio.
Cetere vestita kiel ordinara vagabondo.
Cetere, La respondo estas simpla.
Cetere, ankaŭ aŭto estas artefarita.
Cetere, kion ĝi povus fari?
Cetere, mia tuta korpo eluziĝis.
Cetere, tio ne estis necesa.
Cetere, ĉu drinki vi scipovas?
Cignoj multe aperas en mitologio.
Cimoj kaj petoj de trajtoj.
Civitanoj ne povas esti nenecesaj.
Dancu, dancu ni ronde malpeze!
Dankon Andreo pro via propono!
Dankon al Enbor por rimarko.
Dankon al la Pola Retradio!
Dankon por klarigi al mi.
Dankon por la filmo, amikoj.
Dankon por la intervjuo, Ana.
Dankon por la lingva helpo.
Dankon por via trafa propono.
Dankon por viaj interesaj informoj.
Dankon por ĉi interesa historio.
Dankon pri via rimarkinda teksto.
Dankon pro la artikolo, Aminda.
Dankon pro la bela blogo.
Dankon pro la blua floro“.
Dankon pro la longa komento!
Dankon pro la utilaj klarigoj.
Dankon pro tiu grandega surprizo.
Dankon pro tiu ĉi filmo.
Dankon pro tre bezonata artikolo.
Dankon pro tre pensiga komento.
Dankon pro via bela foto!
Dankon pro via bela laboro.
Dankon pro viaj valoraj kontribuoj.
Dankon, Silvia por la alskribo.
Dankon, kaj mi tuj notas!
Dankon, ke estas Akcepto Centro.
Dankon, ke vi volas registriĝi.
Dankon, mi ricevis mian pakaĵon.
Danĝere estas predikativo de resti.
Datumoj en sistemo estas kritika.
Daŭras deliktoj de la loĝantoj.
Daŭre nenia respondo, nenia letero.
Daŭrigu teni ĝin en sekreto.
Daŭris tio ĝis la nokto.
De ekstere venis kontinua bruo.
De ili mi petas helpon.
De kie ili prenas tiujn?
De kie li tion prenis?
De kie venas tiu intereso?
De kie venas tiu rigideco?
De kie venis la tradukoj?
De kie venu tiuj informoj?
De kie ĝi do aperas?
De la inico en kion?
De malproksime murmuris obtuza bruo.
De nun li komencas malesperi.
De sinceraj kaj falsaj konvinkoj.
De tempo al tempo neĝis.
De tiam li ne revenis.
De tie devenas la elfoj.
Debato, profunda publika debato bezonatas.
Decido, kiun mi neniam bedaŭris.
Dek kaj dek faras dudek.
Dekomence la britoj reagis malrapide.
Delfenoj min nun ne interesis.
Demandu kaj vi ricevos respondon.
Demandu lingviston pri pliaj detaloj.
Demandu vian dentisto kion atendi.
Demokratio bezonas du bazajn apogilojn.
Denove ekkuris tagoj kaj noktoj.
Denove estas kodo de incesto.
Denove estis tio belega travivaĵo.
Denove komenciĝis bruado kaj konfuziĝo.
Denove ŝi faris longan paŭzon.
Denove, la Unikoda reprezentaĵo nepras!
Denove, nur simplaj, mallongaj tekstoj.
Des pli en tia tempo.
Des pli kreskas la fantazioj.
Des pli malbone por li.
Destino estu bona al vi.
Detaloj estas en la dokumentado.
Detaloj estas forlasitaj kaj faciligitaj.
Detaloj kaj recenzoj jam baldaŭ!
Devadato ne konsentis pri tio.
Devas ja esti iaj kaŭzoj.
Devo estas devo, ĉu ne?
Devoj ekzistas, sed rajtoj ne.
Dezirata bonfarto kaŭzas nedeziratajn konsekvencojn.
Diable, kiu situacio tiom hontiga!
Dimanĉe antaŭtagmeze okazis apartaj Diservoj.
Dimanĉe, frue matene, venis Galeran.
Dimanĉo estis tre bela tago.
Dio benu ĉiujn viajn aktivadojn.
Dio certe benos al ni.
Dio gardu vin, sinjoro leŭtenanto!
Dio helpu vin, juna amiko!
Dio ja nin ne forlasis!
Dio kalkulas kun ĉiu homo.
Dio kreis geedzecon por ĉiuj.
Dio lasas nin labori vane.
Dio mem decidos inter ni.
Dio mia, kompatinde malbonŝanca li!
Dio nin ekzamenas kaj perfektigas.
Dio plenumis lian lastan peton.
Dio repagu, Dio benu vin!
Dio sendis al vi ĝojon!
Dio venis pro la perdita.
Dio vin por tio benu!
Dio ĉiam punas la malpiulojn.
Dio, benu ĝin en mi!
Diri min kiel solvi ĝin.
Dirinte, li liberigis la testudon.
Diru al mi jen kion.
Diru al mi tuj, kiun?!
Diru al mi vian nomon.
Diru al mi, kio okazis.
Diru ion el tiu vivo.
Diru klare, kion vi intencas?
Diru saluton al la estonteco.
Diru, ĉu ĝi longe daŭros?
Disa kaj distriĝema li estis!
Dise ni nin mem venkos.
Disigu tion je tri partoj.
Disponebla en blanka kaj nigra.
Distanco inter ili estas longa.
Distingeblas laŭ ni kvin sencoj.
Disvastigi Esperanton inter la katolikoj.
Diversaj fortoj batalis inter si.
Diversaj homoj difinas romanon diverse.
Diversaj kvartaloj havas diferencajn konsistojn.
Diversaj temoj estas kelkfoje traktitaj.
Do Esperanto ne estas bezonata.
Do Reka devas esti sinjorino.
Do ankaŭ estas la filozofioj.
Do bone, ni batalu plu.
Do bonvole ne klarigu nin!
Do certe okazis io nekutima.
Do dankon pro la sciigo!
Do diru, kien ili malaperis?
Do ek, al la laboro!
Do entute apenaŭ io kritikinda.
Do estas ebleco de rifuzo.
Do estas multe da ebloj.
Do estas tio, karaj vizitantoj.
Do estos problemo trovi spektantojn.
Do estu tiam vera printempo!
Do eĉ kompleksa rezonado funkcias.
Do gratulon al Meva Maron!
Do helpu min, mi petas.
Do ili rekomencis sian marŝadon.
Do kia vidado ĝi estas?
Do kial mi faras tion?
Do kial mi timas ilin?
Do kial mi veturis tien?
Do kial tio estu fantaziaĵo?
Do kiel tio koncernas nin?
Do kio estas bona foto?
Do kio estas haltanta vin?
Do kio estas la vero?
Do kio estas vi atendanta.
Do kio povas vin fari?
Do kio restas de ili?
Do kion mi tamen faru?
Do kion ni pretas voĉdonigi?
Do kion rakontis la aŭtoro?
Do kion ŝanĝis mian menson?
Do la afiŝo estas trompa.
Do li decidis rekompenci ŝin.
Do li estas denove libera!
Do li forlasis tiun kredon.
Do li iros al malliberejo.
Do li premiis lin laŭmerite.
Do li rekompencis lin laŭmerite.
Do mi decidis iri sole.
Do mi faris jenan konkludon.
Do mi hezitas pri anstataŭigo.
Do mi kutime restas for.
Do mi ne tro timu.
Do ne al vi, evidente.
Do necesas alternativa lingva edukado.
Do neeltenebla teruro kaptis min.
Do nepre rigardu la filmeton!
Do ni devas esti singardemaj.
Do ni klarigu la situacion.
